adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,10000,Complete case,-0.15940915664584712,78.52745559971238,0,0.04379519929579126,0.15977135596221598
Unadjusted,MCAR,Unweighted,10000,Imputed,-0.1594991831642339,78.57180407739186,0,0.04549290725736348,0.1598834475225655
Unadjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.15954221240170088,78.59300095595127,0,0.04518466599984626,0.1599225677892687
Unadjusted,MCAR,Weighted,10000,Complete case,-0.0038849185759663183,1.9137719400928814,0.87,0.1296787917862554,0.04633300696871997
Unadjusted,MCAR,Weighted,10000,Imputed,-0.04592646333184694,22.624097548899393,0.563,0.1394461223605226,0.06197435865127757
Unadjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.042290194316747,20.832814289894024,0.606,0.13763998424347784,0.05921253353940674
Adjusted,MCAR,Unweighted,10000,Complete case,-0.1325570296160512,68.38708130525288,0,0.04354276371100426,0.13298285193699882
Adjusted,MCAR,Unweighted,10000,Imputed,-0.13261740212928944,68.41822789916333,0,0.04532073344134843,0.13307573861779298
Adjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.13262029451201768,68.41972009926297,0,0.045029133762622894,0.13307141090882257
Adjusted,MCAR,Weighted,10000,Complete case,-0.0034692245941768587,1.789796777095459,0.877,0.10802057742005972,0.03628653084463788
Adjusted,MCAR,Weighted,10000,Imputed,-0.035158979899410435,18.13875902285294,0.653,0.11543296751551572,0.048302548657682735
Adjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.03221906029448938,16.62203432228453,0.688,0.11358207700682901,0.045929331013085564
Unadjusted,MAR,Unweighted,10000,Complete case,-0.16308796141953924,80.33969264182863,0,0.04293009926699379,0.1634552682583501
Unadjusted,MAR,Unweighted,10000,Imputed,-0.19277364262048902,94.96332569719823,0,0.06590082852734343,0.19340126023797946
Unadjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.19092396172761764,94.05214382255039,0,0.06491363429970301,0.19151894788568002
Unadjusted,MAR,Weighted,10000,Complete case,-0.04754678171382544,23.422291846363102,0.481,0.13156712216033148,0.067200671542114
Unadjusted,MAR,Weighted,10000,Imputed,0.002699909755875863,1.3300179734894515,0.875,0.125832395366196,0.04533034141575904
Unadjusted,MAR,Weighted,10000,Imputed w/ PRS,0.0025872205784927267,1.274505513855892,0.872,0.1257678985738468,0.045375824130461255
Adjusted,MAR,Unweighted,10000,Complete case,-0.17021439272052194,87.8147733697636,0,0.04255845624283816,0.1705599143341064
Adjusted,MAR,Unweighted,10000,Imputed,-0.1624491371106522,83.80862470841845,0,0.06393734206000674,0.1631514135133185
Adjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.1604984205969598,82.80223667142197,0,0.06259352690237519,0.16115434326748018
Adjusted,MAR,Weighted,10000,Complete case,-0.03773770081546018,19.46913884096027,0.569,0.11989095582100243,0.05691328109531787
Adjusted,MAR,Weighted,10000,Imputed,7.589823958147124e-4,0.39156422682506525,0.878,0.10432478939666076,0.03632666320718909
Adjusted,MAR,Weighted,10000,Imputed w/ PRS,0.0010849789755773298,0.5597480996082324,0.881,0.10417780940987595,0.03621506135281683
Unadjusted,MNAR,Unweighted,10000,Complete case,-0.26557968757868494,130.82872755455344,0,0.044908345506091754,0.26582824217325157
Unadjusted,MNAR,Unweighted,10000,Imputed,-0.36874707619706903,181.6506044124001,0,0.06289798946661111,0.3692597396768853
Unadjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.35019758505964294,172.51283358203523,0,0.06491325570010609,0.3505560760079542
Unadjusted,MNAR,Weighted,10000,Complete case,-0.12607752090400132,62.10776804312702,0.166,0.14457355972923117,0.13673043070263732
Unadjusted,MNAR,Weighted,10000,Imputed,-0.15778065634557775,77.72523076072379,0.116,0.14639846667399553,0.1668406337592905
Unadjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.13850176039809198,68.22814365868808,0.14,0.1449955610153887,0.14845126681532192
Adjusted,MNAR,Unweighted,10000,Complete case,-0.2920510421598939,150.67113696891445,0,0.045470473000657236,0.29228439158278796
Adjusted,MNAR,Unweighted,10000,Imputed,-0.33473999670929266,172.6946615911988,0,0.07007538265223716,0.33541436319440787
Adjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.31406772073481787,162.02969254409632,0,0.0702580126755856,0.3145266404736218
Adjusted,MNAR,Weighted,10000,Complete case,-0.11138379503688657,57.46366427595948,0.19,0.1352290233441473,0.1216763726837262
Adjusted,MNAR,Weighted,10000,Imputed,-0.11354221597073155,58.577208448768424,0.15,0.12330956698358099,0.12191843665663692
Adjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.0999989096418873,51.59012376728982,0.183,0.12108337535322154,0.10905250839207667
