adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,1000,Complete case,-0.152692460915889,72.9882408711792,0.008,0.139279997378072,0.156794608102738
Unadjusted,MCAR,Unweighted,1000,Imputed,-0.153791754075934,73.5137119617104,0.011,0.145693868937673,0.15797054891311
Unadjusted,MCAR,Unweighted,1000,Imputed w/ PRS,-0.153521569652518,73.3845616051201,0.006,0.142509918698923,0.157621176062978
Unadjusted,MCAR,Weighted,1000,Complete case,-0.0135010618854739,6.45361762462185,0.843,0.251684385010107,0.0874173758792651
Unadjusted,MCAR,Weighted,1000,Imputed,-0.0479690930174018,22.9296174449291,0.812,0.273338229885334,0.092568392802638
Unadjusted,MCAR,Weighted,1000,Imputed w/ PRS,-0.0445341305545029,21.2876773902486,0.815,0.267734914468684,0.0905450129038691
Adjusted,MCAR,Unweighted,1000,Complete case,-0.124559571533701,62.8347379272247,0.051,0.138173647228329,0.129391202505437
Adjusted,MCAR,Unweighted,1000,Imputed,-0.125633780842428,63.3766285227185,0.073,0.144807345343835,0.130641152357242
Adjusted,MCAR,Unweighted,1000,Imputed w/ PRS,-0.1253363425928,63.2265842167306,0.064,0.141663364862339,0.130229450338059
Adjusted,MCAR,Weighted,1000,Complete case,-0.0159636771437805,8.05296178634394,0.861,0.2102085283178,0.0706786238267558
Adjusted,MCAR,Weighted,1000,Imputed,-0.0406339491779947,20.4980116430206,0.837,0.227752085527123,0.0761216658260652
Adjusted,MCAR,Weighted,1000,Imputed w/ PRS,-0.0379456651225057,19.1418924622888,0.834,0.223709718034646,0.0742436517749869
Unadjusted,MAR,Unweighted,1000,Complete case,-0.16409638567681,78.4394098570889,0.002,0.132449767615042,0.167338722443535
Unadjusted,MAR,Unweighted,1000,Imputed,-0.170144653285266,81.3305310716619,0.016,0.159342537426101,0.174300636782913
Unadjusted,MAR,Unweighted,1000,Imputed w/ PRS,-0.168940177468187,80.7547818137541,0.019,0.155084385211208,0.173115079176312
Unadjusted,MAR,Weighted,1000,Complete case,-0.0361868922254552,17.2976294329675,0.767,0.243637387234691,0.0906334765728461
Unadjusted,MAR,Weighted,1000,Imputed,-0.0184365176598636,8.81280571229463,0.835,0.242039689813986,0.084303739249263
Unadjusted,MAR,Weighted,1000,Imputed w/ PRS,-0.0177063178433981,8.46376424837041,0.838,0.240363599625389,0.0842297752821939
Adjusted,MAR,Unweighted,1000,Complete case,-0.145540879052234,73.4188700261441,0.009,0.132108878713648,0.149185428403004
Adjusted,MAR,Unweighted,1000,Imputed,-0.1404151597764,70.8331736928966,0.063,0.156286756226093,0.145216468794919
Adjusted,MAR,Unweighted,1000,Imputed w/ PRS,-0.138983737298991,70.1110850157791,0.052,0.152381096481665,0.143728368167445
Adjusted,MAR,Weighted,1000,Complete case,-0.0319318256602623,16.1081791804136,0.791,0.210285137003856,0.0766794882850401
Adjusted,MAR,Weighted,1000,Imputed,-0.0192833056851398,9.72756604873587,0.855,0.204177850931475,0.068748409078905
Adjusted,MAR,Weighted,1000,Imputed w/ PRS,-0.0182837486034847,9.22333416598484,0.862,0.202751071985069,0.0683324966590744
Unadjusted,MNAR,Unweighted,1000,Complete case,-0.237792800722767,113.666896927847,0,0.136785671272934,0.240221442601509
Unadjusted,MNAR,Unweighted,1000,Imputed,-0.262882521228796,125.659987828997,0,0.161683460842808,0.265960865086416
Unadjusted,MNAR,Unweighted,1000,Imputed w/ PRS,-0.255190454717207,121.983117340583,0,0.158978237268964,0.2581562144466
Unadjusted,MNAR,Weighted,1000,Complete case,-0.0943220460709483,45.0867068144321,0.525,0.259972330813816,0.130014560401024
Unadjusted,MNAR,Weighted,1000,Imputed,-0.0958450854030891,45.8147320290615,0.531,0.261598362257628,0.132134559913904
Unadjusted,MNAR,Weighted,1000,Imputed w/ PRS,-0.0890044553632878,42.5448551139813,0.566,0.259549647814424,0.126510377160895
Adjusted,MNAR,Unweighted,1000,Complete case,-0.222020339861811,111.999340540086,0,0.138425896929792,0.224719262635458
Adjusted,MNAR,Unweighted,1000,Imputed,-0.224613007389156,113.307225454969,0,0.164681757394626,0.228280717379045
Adjusted,MNAR,Unweighted,1000,Imputed w/ PRS,-0.217140598506536,109.537729076303,0,0.161018060775765,0.220643880857709
Adjusted,MNAR,Weighted,1000,Complete case,-0.0830294935975564,41.884669368994,0.564,0.224540826636858,0.111860845758754
Adjusted,MNAR,Weighted,1000,Imputed,-0.076390950275406,38.5358209045226,0.598,0.219349671853785,0.105392494290763
Adjusted,MNAR,Weighted,1000,Imputed w/ PRS,-0.0711819676290863,35.9081219214669,0.626,0.217425613410434,0.1009328921914
