variable,est,lo,hi,method,adj,miss_data,weight,var,seed,size
bmi,0.20243170215378192,0.19633556174549863,0.20852784256151097,Full,Unadjusted,NA,NA,NA,1,1000
bmi,0.1941375741006442,0.1882824052165045,0.1999927429848579,Full,Adjusted,NA,NA,NA,1,1000
bmi,0.049944144367124,-0.01586890103300064,0.11575718976724451,Complete case,Unadjusted,MCAR,Unweighted,NA,1,1000
bmi,0.07776430074748866,0.012275045760718944,0.14325355573425838,Imputed,Unadjusted,MCAR,Unweighted,NA,1,1000
bmi,0.05467921759235282,-0.03550927828179787,0.1448677134665035,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,NA,1,1000
bmi,0.1902786621682443,0.10153143743329633,0.2790258869031923,Complete case,Unadjusted,MCAR,Weighted,0.0020435157051777652,1,1000
bmi,0.19595439440100965,0.10854195789284472,0.2833668309091746,Imputed,Unadjusted,MCAR,Weighted,0.0019890709266833437,1,1000
bmi,0.17412405392427602,0.0744741848255338,0.27377392302301823,Imputed w/ PRS,Unadjusted,MCAR,Weighted,0.002584980569856053,1,1000
bmi,0.07373069480020825,0.008093995710780868,0.13936739388963232,Complete case,Adjusted,MCAR,Unweighted,NA,1,1000
bmi,0.10043401382354819,0.03723109750056516,0.16363693014653122,Imputed,Adjusted,MCAR,Unweighted,NA,1,1000
bmi,0.08143424404322823,-0.004933556650186688,0.16780204473664315,Imputed w/ PRS,Adjusted,MCAR,Unweighted,NA,1,1000
bmi,0.20053109360410948,0.11371579242208336,0.2873463947861356,Complete case,Adjusted,MCAR,Weighted,0.001955478693053869,1,1000
bmi,0.21117662055530334,0.12564955959054083,0.2967036815200659,Imputed,Adjusted,MCAR,Weighted,0.0019041927816236379,1,1000
bmi,0.1969264223595932,0.10179705445510046,0.29205579026408596,Imputed w/ PRS,Adjusted,MCAR,Weighted,0.0023557708309035414,1,1000
bmi,0.0700271319918289,0.003986665034512709,0.13606759894914885,Complete case,Unadjusted,MAR,Unweighted,NA,1,1000
bmi,0.0660110819196004,-0.03504765144212829,0.16706981528132908,Imputed,Unadjusted,MAR,Unweighted,NA,1,1000
bmi,0.05891393652899221,-0.021510120021048018,0.13933799307903244,Imputed w/ PRS,Unadjusted,MAR,Unweighted,NA,1,1000
bmi,0.16298262056665477,0.07455937324983364,0.25140586788347585,Complete case,Unadjusted,MAR,Weighted,0.0020269969337800646,1,1000
bmi,0.22905176317779335,0.13011767925595816,0.3279858470996285,Imputed,Unadjusted,MAR,Weighted,0.0025479781037153273,1,1000
bmi,0.22558478722513595,0.13608635812122136,0.31508321632905056,Imputed w/ PRS,Unadjusted,MAR,Weighted,0.0020851372319594676,1,1000
bmi,0.05486285559417758,-0.01095998529985935,0.12068569648821398,Complete case,Adjusted,MAR,Unweighted,NA,1,1000
bmi,0.0848781644788982,-0.01147023271947753,0.18122656167727394,Imputed,Adjusted,MAR,Unweighted,NA,1,1000
bmi,0.07850690992988822,-8.257274307214846e-4,0.15783954729049793,Imputed w/ PRS,Adjusted,MAR,Unweighted,NA,1,1000
bmi,0.17436576328405906,0.08218492026522049,0.2665466063028976,Complete case,Adjusted,MAR,Weighted,0.002202872367514537,1,1000
bmi,0.23054988181377423,0.13489146272845873,0.3262083008990897,Imputed,Adjusted,MAR,Weighted,0.002382046396698955,1,1000
bmi,0.22749082697756245,0.1383801438007285,0.3166015101543964,Imputed w/ PRS,Adjusted,MAR,Weighted,0.0020671089361846257,1,1000
bmi,-0.0771343851522301,-0.14590904306910663,-0.008359727235358756,Complete case,Unadjusted,MNAR,Unweighted,NA,1,1000
bmi,-0.19141698928489922,-0.2992157506582005,-0.08361822791159795,Imputed,Unadjusted,MNAR,Unweighted,NA,1,1000
bmi,-0.14690099551412045,-0.23976816941213425,-0.05403382161610666,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,NA,1,1000
bmi,0.06008122274967364,-0.04049302921356993,0.16065547471291722,Complete case,Unadjusted,MNAR,Weighted,0.0026216476839899206,1,1000
bmi,0.006761865859943985,-0.10882019970078112,0.12234393142066909,Imputed,Unadjusted,MNAR,Weighted,0.003477640787743715,1,1000
bmi,0.047706974686162015,-0.06256808192561958,0.1579820312979436,Imputed w/ PRS,Unadjusted,MNAR,Weighted,0.00316561719865952,1,1000
bmi,-0.10310072436579794,-0.1736857356634555,-0.03251571306813951,Complete case,Adjusted,MNAR,Unweighted,NA,1,1000
bmi,-0.15958627666541875,-0.2799983521050499,-0.03917420122578759,Imputed,Adjusted,MNAR,Unweighted,NA,1,1000
bmi,-0.11075539618045505,-0.221205818171697,-3.049741892131169e-4,Imputed w/ PRS,Adjusted,MNAR,Unweighted,NA,1,1000
bmi,0.08414675393925639,-0.022957535742691715,0.19125104362120454,Complete case,Adjusted,MNAR,Weighted,0.002973038650448029,1,1000
bmi,0.07345582111791839,-0.03907586658782343,0.18598750882366022,Imputed,Adjusted,MNAR,Weighted,0.003296503054955155,1,1000
bmi,0.10968022039355045,1.5093066380628128e-4,0.21920951012329462,Imputed w/ PRS,Adjusted,MNAR,Weighted,0.003122945180116374,1,1000
bmi,0.19953212090747607,0.19346654765582766,0.20559769415814355,Full,Unadjusted,NA,NA,NA,2,1000
bmi,0.19131717013382318,0.1854949353961929,0.19713940487051543,Full,Adjusted,NA,NA,NA,2,1000
bmi,0.05074699561136478,-0.02179695202889485,0.12329094325162371,Complete case,Unadjusted,MCAR,Unweighted,NA,2,1000
bmi,0.034771498159174456,-0.036955836190608805,0.10649883250895772,Imputed,Unadjusted,MCAR,Unweighted,NA,2,1000
bmi,0.057388052539575664,-0.024042711010322383,0.13881881608947372,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,NA,2,1000
bmi,0.21951630818807383,0.1302153299235242,0.30881728645262346,Complete case,Unadjusted,MCAR,Weighted,0.0020691341456778854,2,1000
bmi,0.14196844229682196,0.022568247016567275,0.2613686375770766,Imputed,Unadjusted,MCAR,Weighted,0.0037111960061013815,2,1000
bmi,0.14925089448870815,-0.019313887237820293,0.3178156762152366,Imputed w/ PRS,Unadjusted,MCAR,Weighted,0.0073966914562364,2,1000
bmi,0.06695173065721023,-0.004301226578323572,0.13820468789274232,Complete case,Adjusted,MCAR,Unweighted,NA,2,1000
bmi,0.05860570838444205,-0.016903502630617538,0.13411491939950163,Imputed,Adjusted,MCAR,Unweighted,NA,2,1000
bmi,0.0774498367715048,-2.705128427776954e-4,0.15517018638578728,Imputed w/ PRS,Adjusted,MCAR,Unweighted,NA,2,1000
bmi,0.17410354231184688,0.08471965434071001,0.2634874302829838,Complete case,Adjusted,MCAR,Weighted,0.0020729408067907584,2,1000
bmi,0.12084250907701276,0.02375200771824036,0.21793301043578517,Imputed,Adjusted,MCAR,Weighted,0.0024539025131068495,2,1000
bmi,0.12724020056457297,0.0028739076995702023,0.25160649342957575,Imputed w/ PRS,Adjusted,MCAR,Weighted,0.004026328414003113,2,1000
bmi,0.06802693371025208,5.453809104615419e-4,0.13550848651004094,Complete case,Unadjusted,MAR,Unweighted,NA,2,1000
bmi,0.05009913710464818,-0.03568915175683168,0.13588742596612804,Imputed,Unadjusted,MAR,Unweighted,NA,2,1000
bmi,0.06114187492610621,-0.07655892151185018,0.19884267136406258,Imputed w/ PRS,Unadjusted,MAR,Unweighted,NA,2,1000
bmi,0.12766587675017355,0.04775641804138081,0.20757533545896623,Complete case,Unadjusted,MAR,Weighted,0.0016555652628988215,2,1000
bmi,0.20432658267222142,0.1187064431000118,0.2899467222444311,Imputed,Unadjusted,MAR,Weighted,0.0019083396809756853,2,1000
bmi,0.2044250121075168,0.10711799383846309,0.3017320303765705,Imputed w/ PRS,Unadjusted,MAR,Weighted,0.002464859379308154,2,1000
bmi,0.04590868435751525,-0.020168621019241956,0.11198598973426648,Complete case,Adjusted,MAR,Unweighted,NA,2,1000
bmi,0.06357491759213933,-0.018061548269458147,0.1452113834537368,Imputed,Adjusted,MAR,Unweighted,NA,2,1000
bmi,0.07782409868346327,-0.05599844220567471,0.21164663957260124,Imputed w/ PRS,Adjusted,MAR,Unweighted,NA,2,1000
bmi,0.10426336913639338,0.023363377903735993,0.1851633603690507,Complete case,Adjusted,MAR,Weighted,0.0016968173422710093,2,1000
bmi,0.1636128763529541,0.07853400270485063,0.2486917500010576,Imputed,Adjusted,MAR,Weighted,0.0018842879955490517,2,1000
bmi,0.1662298755245493,0.07206122887118735,0.26039852217791126,Imputed w/ PRS,Adjusted,MAR,Weighted,0.0023084287575217068,2,1000
bmi,-0.006681228420399637,-0.081866623012072,0.06850416617126606,Complete case,Unadjusted,MNAR,Unweighted,NA,2,1000
bmi,-0.04795176319910185,-0.164276089877688,0.06837256347948428,Imputed,Unadjusted,MNAR,Unweighted,NA,2,1000
