variable,est,lo,hi,method,adj,miss_data,weight,seed,var,size
bmi,0.20243170215378,0.196335561746611,0.208527842560949,Full,Unadjusted,,,1,,100
bmi,0.194137574100642,0.188282405215905,0.199992742985379,Full,Adjusted,,,1,,100
bmi,0.221944366024312,0.0468064181477218,0.397082313900901,Complete case,Unadjusted,MCAR,Unweighted,1,,100
bmi,0.198271572160277,0.00198602902251799,0.394557115298036,Imputed,Unadjusted,MCAR,Unweighted,1,,100
bmi,0.209348069672789,0.0168540000354044,0.401842139310173,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,1,,100
bmi,0.186993164283468,-0.00739879430857124,0.381385122875507,Complete case,Unadjusted,MCAR,Weighted,1,0.00949499098281703,100
bmi,0.134718401262207,-0.0585753958186001,0.328012198343014,Imputed,Unadjusted,MCAR,Weighted,1,0.00972612065724685,100
bmi,0.19422505307124,0.0128399307746084,0.375610175367871,Imputed w/ PRS,Unadjusted,MCAR,Weighted,1,0.00856460113885045,100
bmi,0.240971140140747,0.0702031477339583,0.411739132547536,Complete case,Adjusted,MCAR,Unweighted,1,,100
bmi,0.233445281906074,0.0450642888489107,0.421826274963237,Imputed,Adjusted,MCAR,Unweighted,1,,100
bmi,0.232125060817087,0.0412106293368026,0.423039492297371,Imputed w/ PRS,Adjusted,MCAR,Unweighted,1,,100
bmi,0.173021983747232,-0.0311072511169284,0.377151218611393,Complete case,Adjusted,MCAR,Weighted,1,0.0104470651947167,100
bmi,0.146272690216972,-0.053816860014438,0.346362240448383,Imputed,Adjusted,MCAR,Weighted,1,0.0104220375593077,100
bmi,0.211740279966582,0.0191755170324627,0.4043050429007,Imputed w/ PRS,Adjusted,MCAR,Weighted,1,0.00965289220962496,100
bmi,0.20432704312275,0.00149896699053105,0.407155119254969,Complete case,Unadjusted,MAR,Unweighted,1,,100
bmi,0.214684327916443,-0.027989743384456,0.457358399217342,Imputed,Unadjusted,MAR,Unweighted,1,,100
bmi,0.152344239875843,-0.211172053004133,0.515860532755819,Imputed w/ PRS,Unadjusted,MAR,Unweighted,1,,100
bmi,0.111509479306577,-0.0941297587434108,0.317148717356564,Complete case,Unadjusted,MAR,Weighted,1,0.0105758545921861,100
bmi,0.202849536479165,0.00417563262938914,0.401523440328942,Imputed,Unadjusted,MAR,Weighted,1,0.0102750860840356,100
bmi,0.161062579528574,-0.0813605416116162,0.403485700668763,Imputed w/ PRS,Unadjusted,MAR,Weighted,1,0.0152986072235787,100
