adj,method,miss_dat,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,Complete case,MCAR,6.063104785137902e-5,0.02982880234374376,0.958,0.06264371732388231,0.015891923431980308
Unadjusted,Complete case,MAR,-0.08303755567694203,40.85218585478867,0,0.05218738575874659,0.08412908793798546
Unadjusted,Complete case,MNAR,-0.14648353927362393,72.06585890310609,0,0.059099564683015006,0.14720454143401374
Unadjusted,Imputed,MCAR,-6.418339110499017e-4,0.3157645719260662,0.953,0.06496851655060899,0.016371477071916236
Unadjusted,Imputed,MAR,-0.02179868497023117,10.724351439949166,0.671,0.09497716358893182,0.04139243272759856
Unadjusted,Imputed,MNAR,-0.12376124455532186,60.8871169554175,0.032,0.11023843691028769,0.1263587980961458
Unadjusted,Imputed w/ PRS,MCAR,-5.971863259233519e-4,0.29379919215677963,0.955,0.06436468673253185,0.015938547696207124
Unadjusted,Imputed w/ PRS,MAR,0.00639945897780594,3.1483572149995127,0.905,0.09320424429533661,0.024725196613481652
Unadjusted,Imputed w/ PRS,MNAR,-0.09650962241006127,47.48007090683301,0.137,0.12271669942561467,0.10016491377050007
Adjusted,Complete case,MCAR,5.662616887529588e-6,0.002895900830612594,0.95,0.05984558716812725,0.01509709230882793
Adjusted,Complete case,MAR,-0.08114253483607681,41.49684477989125,0,0.05031796822869344,0.08213296469380808
Adjusted,Complete case,MNAR,-0.14632254264601066,74.83034455661203,0,0.056981740741867376,0.14697250645557117
Adjusted,Imputed,MCAR,-7.406178883854632e-4,0.37875703066991256,0.953,0.06200625162791073,0.015548749274529795
Adjusted,Imputed,MAR,-0.032852878596293746,16.801185795305965,0.586,0.09297649032055313,0.04733862004870102
Adjusted,Imputed,MNAR,-0.12058952726509536,61.670305285745876,0.031,0.1070141780637756,0.12292650853225447
Adjusted,Imputed w/ PRS,MCAR,-6.08468766190543e-4,0.3111750698327297,0.952,0.06165357027211707,0.015189983392872593
Adjusted,Imputed w/ PRS,MAR,-0.004027217554616804,2.059546477028283,0.917,0.08954718376347016,0.02310373856072973
Adjusted,Imputed w/ PRS,MNAR,-0.09417823696664819,48.16339160397087,0.12,0.11569684905487129,0.09745451887451838
