adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,5000,Complete case,-0.149480925896035,71.4531009553685,0,0.0717892474388542,0.150677425532191
Unadjusted,MCAR,Unweighted,5000,Imputed,-0.149438858346452,71.4329923237868,0,0.0785339127455505,0.15077772937389
Unadjusted,MCAR,Unweighted,5000,Imputed w/ PRS,-0.149290034101376,71.3618531216163,0,0.0785798771031263,0.150543347931034
Unadjusted,MCAR,Weighted,5000,Complete case,-0.00542621318318903,2.59377412910473,0.881,0.161161206466474,0.0520466481205827
Unadjusted,MCAR,Weighted,5000,Imputed,-0.0650261745118264,31.0830414267469,0.527,0.161050297925618,0.077043065116465
Unadjusted,MCAR,Weighted,5000,Imputed w/ PRS,-0.0617532666143545,29.5185647752019,0.551,0.159185605383913,0.0742197389148384
Adjusted,MCAR,Unweighted,5000,Complete case,-0.121619514722943,61.3516106418584,0,0.0710831838246788,0.123036632386014
Adjusted,MCAR,Unweighted,5000,Imputed,-0.121543315199821,61.3131713873989,0,0.0783881572293162,0.123152471617045
Adjusted,MCAR,Unweighted,5000,Imputed w/ PRS,-0.121433808017567,61.2579299072513,0,0.0785093790909755,0.122928464108281
Adjusted,MCAR,Weighted,5000,Complete case,-0.00548698460599635,2.76793854926848,0.89,0.134871430497167,0.0422298024850819
Adjusted,MCAR,Weighted,5000,Imputed,-0.0550417905642901,27.7661238118228,0.593,0.142216474764152,0.0657118006826995
Adjusted,MCAR,Weighted,5000,Imputed w/ PRS,-0.0524973391185455,26.4825617555849,0.616,0.140687402606864,0.0633386756338071
Unadjusted,MAR,Unweighted,5000,Complete case,-0.165529365031245,79.1243856683209,0,0.0676810203015771,0.166459080968415
Unadjusted,MAR,Unweighted,5000,Imputed,-0.170663479364004,81.5785341661044,0,0.0833318469339242,0.171875161794764
Unadjusted,MAR,Unweighted,5000,Imputed w/ PRS,-0.16919530417713,80.8767344600951,0,0.0824102395284096,0.170392810326312
Unadjusted,MAR,Weighted,5000,Complete case,-0.026449967207337,12.6432999113646,0.752,0.161638346536428,0.0578963577230339
Unadjusted,MAR,Weighted,5000,Imputed,-0.0366714636124847,17.529258505573,0.695,0.148968609273795,0.0576598543861191
Unadjusted,MAR,Weighted,5000,Imputed w/ PRS,-0.0352233395100348,16.8370433813489,0.695,0.148254858595534,0.057012924573329
Adjusted,MAR,Unweighted,5000,Complete case,-0.145884414455321,73.5921682862128,0,0.0674166704134497,0.14694078441506
Adjusted,MAR,Unweighted,5000,Imputed,-0.140703509170235,70.9786330772699,0,0.0831699558629201,0.142160648961413
Adjusted,MAR,Unweighted,5000,Imputed w/ PRS,-0.139592581093997,70.4182195043356,0,0.081918913034319,0.141019077730657
Adjusted,MAR,Weighted,5000,Complete case,-0.0198878971659092,10.0325554347735,0.797,0.139277826851323,0.048211250025245
Adjusted,MAR,Weighted,5000,Imputed,-0.0364742298531545,18.3996191195971,0.685,0.126293098967215,0.0516888339855683
Adjusted,MAR,Weighted,5000,Imputed w/ PRS,-0.0350974129393537,17.7050765092845,0.692,0.12539469405299,0.0508325859141356
Unadjusted,MNAR,Unweighted,5000,Complete case,-0.221508814270415,105.88301867742,0,0.0703447803200448,0.222279679683917
Unadjusted,MNAR,Unweighted,5000,Imputed,-0.229425591473951,109.667302708139,0,0.0876565310426964,0.23038077543463
Unadjusted,MNAR,Unweighted,5000,Imputed w/ PRS,-0.225537249901851,107.808643743895,0,0.0826460124278179,0.226441689657901
Unadjusted,MNAR,Weighted,5000,Complete case,-0.0830617159786551,39.7041772505265,0.377,0.167891453219742,0.0993994365356799
Unadjusted,MNAR,Weighted,5000,Imputed,-0.113690794423008,54.345126395947,0.199,0.148204542572824,0.123297945648336
Unadjusted,MNAR,Weighted,5000,Imputed w/ PRS,-0.108258602882311,51.7484945632256,0.213,0.146778054771716,0.118082722457917
Adjusted,MNAR,Unweighted,5000,Complete case,-0.221240362240623,111.60587668329,0,0.0702429517306496,0.222001646520587
Adjusted,MNAR,Unweighted,5000,Imputed,-0.225144396968122,113.575287752554,0,0.0894258948477701,0.226153472452181
Adjusted,MNAR,Unweighted,5000,Imputed w/ PRS,-0.219168375690232,110.56065205479,0,0.0844016520551913,0.220134869942961
Adjusted,MNAR,Weighted,5000,Complete case,-0.0739181036083616,37.2883802594984,0.412,0.150505753303171,0.0885679681921072
Adjusted,MNAR,Weighted,5000,Imputed,-0.0961575091285937,48.5071665824986,0.219,0.132459756527748,0.104951748578837
Adjusted,MNAR,Weighted,5000,Imputed w/ PRS,-0.0918836801561737,46.3512108408305,0.231,0.130480816905422,0.100756103034997
