variable,est,lo,hi,method,adj,miss_data,weight,var,seed,size
bmi,0.19987450072092,0.193816298268406,0.205932703173434,Full,Unadjusted,,,,100,5000
bmi,0.189459099262614,0.183648598876213,0.195269599649016,Full,Adjusted,,,,100,5000
bmi,0.0305867937963471,-0.000510795870921377,0.0616843834636153,Complete case,Unadjusted,MCAR,Unweighted,,100,5000
bmi,0.0280178274684117,-0.00310118830610329,0.0591368432429268,Imputed,Unadjusted,MCAR,Unweighted,,100,5000
bmi,0.0356380947925944,0.00553878349083227,0.0657374060943565,Imputed w/ PRS,Unadjusted,MCAR,Unweighted,,100,5000
bmi,0.234969886042251,0.0975247570211263,0.372415015063375,Complete case,Unadjusted,MCAR,Weighted,0.00491455678370015,100,5000
bmi,0.173048682110421,0.0293247629716507,0.316772601249191,Imputed,Unadjusted,MCAR,Weighted,0.005377270952725,100,5000
bmi,0.200225546635526,0.0450955351071488,0.355355558163903,Imputed w/ PRS,Unadjusted,MCAR,Weighted,0.00626463060000889,100,5000
bmi,0.0503957509564809,0.0195482753252567,0.0812432265877051,Complete case,Adjusted,MCAR,Unweighted,,100,5000
bmi,0.0489938575044672,0.0161441585702675,0.0818435564386669,Imputed,Adjusted,MCAR,Unweighted,,100,5000
bmi,0.0553812694433384,0.0253268669387935,0.0854356719478833,Imputed w/ PRS,Adjusted,MCAR,Unweighted,,100,5000
bmi,0.220812418144982,0.128399586053246,0.313225250236718,Complete case,Adjusted,MCAR,Weighted,0.00222172302447074,100,5000
bmi,0.18100295650175,0.0774372403120498,0.284568672691449,Imputed,Adjusted,MCAR,Weighted,0.00279213134138123,100,5000
bmi,0.200498691311296,0.0891142074688196,0.311883175153773,Imputed w/ PRS,Adjusted,MCAR,Weighted,0.0032296332773426,100,5000
bmi,0.0455975535189452,0.0159489731627236,0.0752461338751669,Complete case,Unadjusted,MAR,Unweighted,,100,5000
bmi,0.0203534680806461,-0.0568945154122817,0.0976014515735739,Imputed,Unadjusted,MAR,Unweighted,,100,5000
bmi,0.019277803908958,-0.020030389582036,0.0585859973999519,Imputed w/ PRS,Unadjusted,MAR,Unweighted,,100,5000
bmi,0.203363603139961,0.0820538452873427,0.324673360992578,Complete case,Unadjusted,MAR,Weighted,0.00382782923486333,100,5000
bmi,0.259574985482692,0.140762730075972,0.378387240889412,Imputed,Unadjusted,MAR,Weighted,0.00367473730520974,100,5000
bmi,0.26081909707057,0.144759847015325,0.376878347125814,Imputed w/ PRS,Unadjusted,MAR,Weighted,0.00350641518030174,100,5000
bmi,0.0326377971396325,0.00355344503762104,0.061722149241644,Complete case,Adjusted,MAR,Unweighted,,100,5000
bmi,0.0419578725515905,-0.0211314248349015,0.105047169938083,Imputed,Adjusted,MAR,Unweighted,,100,5000
bmi,0.0380801963552084,-0.00319450825638264,0.0793549009667995,Imputed w/ PRS,Adjusted,MAR,Unweighted,,100,5000
bmi,0.201607362387529,0.10556722039768,0.297647504377378,Complete case,Adjusted,MAR,Weighted,0.00239919872947742,100,5000
bmi,0.234530151376654,0.157621670996315,0.311438631756993,Imputed,Adjusted,MAR,Weighted,0.00153975732410539,100,5000
bmi,0.231617089599771,0.155868213568884,0.307365965630657,Imputed w/ PRS,Adjusted,MAR,Weighted,0.0014936753165314,100,5000
bmi,-0.0340943561222722,-0.0658400737189664,-0.00234863852557793,Complete case,Unadjusted,MNAR,Unweighted,,100,5000
bmi,-0.124194011362109,-0.180782610914938,-0.0676054118092798,Imputed,Unadjusted,MNAR,Unweighted,,100,5000
bmi,-0.108567802542922,-0.14823674202753,-0.0688988630583135,Imputed w/ PRS,Unadjusted,MNAR,Unweighted,,100,5000
bmi,0.136887431772561,0.0192117659656441,0.254563097579478,Complete case,Unadjusted,MNAR,Weighted,0.00360167067344703,100,5000
bmi,0.132867824286286,0.0203954043536809,0.245340244218891,Imputed,Unadjusted,MNAR,Weighted,0.00329303158928839,100,5000
bmi,0.147229865653217,0.0355272976910317,0.258932433615403,Imputed w/ PRS,Unadjusted,MNAR,Weighted,0.00324810554316761,100,5000
bmi,-0.0644260529027822,-0.0961803950114377,-0.0326717107941267,Complete case,Adjusted,MNAR,Unweighted,,100,5000
bmi,-0.0907766606364771,-0.1487839567986,-0.0327693644743539,Imputed,Adjusted,MNAR,Unweighted,,100,5000
bmi,-0.0766578471134508,-0.116356269774512,-0.0369594244523891,Imputed w/ PRS,Adjusted,MNAR,Unweighted,,100,5000
bmi,0.151809898362469,0.0450890127085935,0.258530784016345,Complete case,Adjusted,MNAR,Weighted,0.00296229961478774,100,5000
bmi,0.159641557729057,0.0695748721833222,0.249708243274791,Imputed,Adjusted,MNAR,Weighted,0.00211169980568175,100,5000
bmi,0.163961680444028,0.0779184736509926,0.250004887237063,Imputed w/ PRS,Adjusted,MNAR,Weighted,0.00192724529424769,100,5000
